feature,importance
Fwd Packet Length Mean,0.10453810740162152
Fwd Packets Length Total,0.09880602476499051
Packet Length Min,0.08503179879727395
PSH Flag Count,0.07905259251330111
Avg Fwd Segment Size,0.05699642901100331
Avg Bwd Segment Size,0.0549130565511834
Subflow Fwd Bytes,0.05342727135701773
Fwd Packet Length Max,0.03762400551178275
Avg Packet Size,0.036785437070955745
Packet Length Variance,0.03655973294482552
Bwd Packet Length Mean,0.03297336270722285
Init Fwd Win Bytes,0.028327630545711982
Fwd Packet Length Min,0.028051495078121994
Fwd IAT Std,0.026953516690674292
Fwd Act Data Packets,0.02243712523536064
Bwd Packet Length Min,0.022145049892745707
Packet Length Mean,0.02100634429319786
Init Bwd Win Bytes,0.01897217687582875
Subflow Fwd Packets,0.018428269999012606
ACK Flag Count,0.01637607436715573
URG Flag Count,0.01564671243127751
Flow IAT Std,0.012142938335391831
Fwd Header Length,0.008458646292975342
Bwd Header Length,0.007880741447737176
Subflow Bwd Packets,0.007586877802171572
Total Backward Packets,0.006460962930695619
Packet Length Std,0.004780890521195998
Bwd Packet Length Std,0.004516696428364786
Idle Max,0.004202041412027144
Flow Duration,0.0040663934460340246
Subflow Bwd Bytes,0.0038376548061866762
Bwd Packet Length Max,0.0035522646985134704
Total Fwd Packets,0.002953317293724427
Flow Packets/s,0.002925663062252281
Fwd IAT Mean,0.002906136717673749
Flow IAT Min,0.00266231089470977
Active Mean,0.002473857161096651
Bwd IAT Mean,0.0024348381101981565
Bwd IAT Total,0.0023075581318257794
Fwd IAT Max,0.002179527781880557
Fwd Packets/s,0.0020794267715757366
Bwd IAT Min,0.0020425400647857907
Flow IAT Max,0.0018633363272773924
Fwd Seg Size Min,0.0016781373888400115
Bwd Packets/s,0.0014270408240808603
Fwd IAT Total,0.001091298116629769
Bwd IAT Std,0.0010616472739100736
Packet Length Max,0.001058414358347238
Idle Min,0.0009692477276896269
Flow IAT Mean,0.000910623122129239
Fwd Packet Length Std,0.0008486932206197747
Fwd IAT Min,0.0007043930473428399
Active Std,0.00037349389100478495
FIN Flag Count,0.0001333428000352825
Bwd IAT Max,0.00013113189064509805
Active Min,0.0001181371905067452
Flow Bytes/s,8.78567699184836e-05
Idle Mean,3.526657419770548e-05
Bwd Packets Length Total,3.419834683691078e-06
Active Max,1.0214908244638925e-06
SYN Flag Count,3.380365431982606e-14
Idle Std,4.271539992315003e-16
Down/Up Ratio,2.8272150374471085e-16
RST Flag Count,9.468458397742892e-17
Fwd PSH Flags,6.256488359443687e-17
Protocol,0.0
Fwd URG Flags,0.0
Bwd URG Flags,0.0
Bwd PSH Flags,0.0
Bwd Avg Bulk Rate,0.0
Bwd Avg Packets/Bulk,0.0
Bwd Avg Bytes/Bulk,0.0
Fwd Avg Bulk Rate,0.0
Fwd Avg Packets/Bulk,0.0
Fwd Avg Bytes/Bulk,0.0
ECE Flag Count,0.0
CWE Flag Count,0.0
